Filnavn: kejseren.txt

21 emperor
15 see
13 said
12 clothes
12 one
12 looms
11 new
10 cloth
10 could
9 weavers
8 colors
8 office
8 might
8 nothing
8 would
8 minister
7 emperor's
7 suit
7 thought
7 work
7 empty
6 it
6 two
6 beautiful
6 unfit
6 must
6 stuff
6 pretended
6 i
6 old
6 majesty
5 time
5 court
5 everyone
5 indeed
5 splendid
5 asked
5 however
5 impostors
5 procession
4 ebook
4 last
4 day
4 he
4 the
4 rogues
4 order
4 thread
4 simpleton
4 people
4 whether
4 design
4 anything
4 you
4 looking
4 on
4 fit
4 magnificent
4 cried
4 train
3 project
3 andersen's
3 fairy
3 tales
3 either
3 say
3 made
3 men
3 know
3 manufacture
3 be
3 is
3 went
3 knaves
3 what
3 this
3 discover
3 good
3 pleased
3 frames
3 looked
3 well
3 still
3 oh
3 much
3 ready
3 appear
3 whole
3 officers
3 ever
3 although
3 something
3 mantle
3 glass
2 hans
2 christian
2 andersen
2 gutenberg
2 title
2 date
2 money
2 least
2 go
2 different
2 sitting
2 him
2 large
2 capital
2 knew
2 patterns
2 wonderful
2 property
2 invisible
2 extraordinarily
2 able
2 wise
2 woven
2 given
2 reality
2 delicate
2 silk
2 gold
2 put
2 knapsacks
2 continued
2 night
2 like
2 getting
2 himself
2 little
2 else
2 affair
2 city
2 anxious
2 faithful
2 looks
2 man
2 working
2 eyes
2 aloud
2 there
2 never
2 so
2 excellent
2 loom
2 pattern
2 yes
2 without
2 them
2 shall
2 saying
2 complete
2 another
2 soon
2 sides
2 talking
2 certainly
2 accordingly
2 praised
2 declared
2 imperial
2 already
2 if
2 exquisite
2 how
2 charming
2 graciously
2 exclaimed
2 take
2 holding
2 majesty's
2 scarf
2 great
2 turning
2 round
2 side
2 out
2 canopy
2 lords
2 bedchamber
2 but
2 child
1 gutenberg's
1 use
1 anyone
1 anywhere
1 cost
1 almost
1 restrictions
1 whatsoever
1 may
1 copy
1 give
1 away
1 re-use
1 terms
1 license
1 included
1 online
1 www.gutenberg.org
1 author
1 posting
1 october
1 10
1 2008
1 1597
1 release
1 january
1 1999
1 updated
1 march
1 14
1 2018
1 language
1 english
1 start
1 produced
1 dianne
1 bean
1 many
1 years
1 ago
1 excessively
1 fond
1 spent
1 dress
1 trouble
1 soldiers
1 care
1 theatre
1 chase
1 except
1 opportunities
1 afforded
1 displaying
1 hour
1 king
1 accustomed
1 council
1 always
1 wardrobe
1 passed
1 merrily
1 town
1 strangers
1 arrived
1 every
1 calling
1 appearance
1 gave
1 weave
1 stuffs
1 elaborate
1 manufactured
1 remaining
1 held
1 simple
1 character
1 these
1 had
1 find
1 realms
1 also
1 distinguish
1 foolish
1 immediately
1 caused
1 sums
1 begin
1 directly
1 set
1 affected
1 busily
1 though
1 all
1 purest
1 late
1 elapsed
1 was
1 rather
1 embarrassed
1 remembered
1 unable
1 sure
1 risk
1 person
1 yet
1 prefer
1 sending
1 somebody
1 bring
1 intelligence
1 troubled
1 throughout
1 heard
1 possess
1 learn
1 ignorant
1 neighbors
1 prove
1 send
1 deliberation
1 best
1 sense
1 suitable
1 hall
1 meaning
1 opening
1 wide
1 cannot
1 bit
1 express
1 thoughts
1 requested
1 courteously
1 come
1 nearer
1 pointing
1 poor
1 reason
1 viz
1 again
1 possible
1 myself
1 no
1 confess
1 sir
1 pretending
1 pleases
1 replied
1 spectacles
1 tell
1 delay
1 think
1 we
1 obliged
1 named
1 described
1 listened
1 attentively
1 words
1 repeat
1 necessary
1 begun
1 apparent
1 diligence
1 sent
1 officer
1 ascertain
1 gentleman
1 surveyed
1 does
1 lord
1 second
1 ambassador
1 making
1 gestures
1 before
1 stupid
1 messenger
1 profitable
1 odd
1 delighted
1 please
1 sovereign
1 returned
1 preparing
1 ordered
1 expense
1 wished
1 costly
1 accompanied
1 select
1 number
1 among
1 honest
1 admired
1 crafty
1 who
1 aware
1 approach
1 diligently
1 pass
1 single
1 absolutely
1 crown
1 mentioned
1 look
1 glorious
1 pointed
1 imagined
1 piece
1 workmanship
1 terrible
1 worst
1 thing
1 happen--oh
1 approbation
1 smiled
1 closely
1 account
1 retinue
1 strained
1 hoping
1 others
1 nevertheless
1 advised
1 material
1 approaching
1 resounded
1 uncommonly
1 gay
1 shared
1 general
1 satisfaction
1 presented
1 riband
1 knighthood
1 worn
1 button-holes
1 gentlemen
1 sat
1 place
1 sixteen
1 lights
1 burning
1 finish
1 roll
1 cut
1 air
1 scissors
1 sewed
1 needles
1 they
1 grandees
1 came
1 raised
1 arms
1 act
1 up
1 here
1 trousers
1 light
1 cobweb
1 fancy
1 dressed
1 that
1 virtue
1 courtiers
1 front
1 undressed
1 array
1 royal
1 robes
1 borne
1 waiting
1 announced
1 chief
1 master
1 ceremonies
1 quite
1 answered
1 do
1 examining
1 handsome
1 carry
1 felt
1 ground
1 lifting
1 ends
1 carrying
1 means
1 betray
1 simplicity
1 unfitness
1 walked
1 high
1 midst
1 streets
1 standing
1 by
1 windows
1 gracefully
1 hangs
1 short
1 allow
1 much-admired
1 because
1 none
1 various
1 suits
1 impression
1 ones
1 listen
1 voice
1 innocence
1 father
1 whispered
1 vexed
1 right
1 now
1 took
1 greater
1 pains
1 hold

Filnavn: alice.txt

467 said
390 alice
164 it
136 i
133 little
106 one
88 you
87 like
85 would
85 know
81 and
81 went
78 could
73 queen
73 thought
70 time
69 again
66 see
61 king
60 well
60 don't
59 mock
58 turtle
58 began
58 i'm
55 quite
55 hatter
55 gryphon
54 it's
53 way
52 head
52 think
51 that
51 much
51 go
50 but
50 on
49 say
49 first
49 thing
47 voice
47 looked
47 never
46 get
46 come
45 must
45 got
44 rabbit
43 round
43 herself
42 came
41 tone
40 two
40 her
40 what
40 duchess
39 back
39 dormouse
38 oh
38 mouse
37 great
36 off
35 long
35 why
35 large
35 cat
34 that's
34 i've
34 them
34 not
33 then
33 nothing
33 last
